species_ID,Group,Order,Family,Genus,Species,subspecies,scientificName,variety,common_name,native_exotic,continent_of_origin,itis_tsn
58,Amphibians-Frogs,Anura,Hylidae,Pachymedusa,dacnicolor,NULL,Pachymedusa dacnicolor,NULL,Mexican Leaf Frog,Exotic,South America,208137
59,Amphibians-Frogs,Anura,Hylidae,Pseudacris,regilla,NULL,Pseudacris regilla,NULL,Northern Pacific Treefrog,Native,North America,207313
60,Amphibians-Frogs,Anura,Eleutherodactylidae,Eleutherodactylus,coqui,NULL,Eleutherodactylus coqui,NULL,Coqui,Exotic,Caribbean,173559
61,Amphibians-Frogs,Anura,Eleutherodactylidae,Eleutherodactylus,planirostris,NULL,Eleutherodactylus planirostris,NULL,Greenhouse Frog,Exotic,Caribbean,173568
63,Amphibians-Frogs,Anura,Eleutherodactylidae,Eleutherodactylus,portoricensis,NULL,Eleutherodactylus portoricensis,NULL,Forest Coqui,Exotic,Caribbean,173569
64,Amphibians-Frogs,Anura,Eleutherodactylidae,Eleutherodactylus,cystignathoides,NULL,Eleutherodactylus cystignathoides,NULL,Rio Grande Chirping Frog,Native,North America,550238
65,Amphibians-Frogs,Anura,Eleutherodactylidae,Eleutherodactylus,cystignathoides,campi,Eleutherodactylus cystignathoides campi,NULL,Rio Grande Chirping Frog,Native,North America,776759
66,Amphibians-Frogs,Anura,Pipidae,Hymenochirus,boettgeri,NULL,Hymenochirus boettgeri,NULL,Zaire Dwarf Clawed Frog,Exotic,Africa,664841
67,Amphibians-Frogs,Anura,Pipidae,Xenopus,laevis,NULL,Xenopus laevis,NULL,African Clawed Frog,Exotic,Africa,173549
68,Amphibians-Frogs,Anura,Ranidae,Rana,aurora,NULL,Rana aurora,NULL,Northern Red-legged Frog,Native,North America,173446
69,Amphibians-Frogs,Anura,Ranidae,Lithobates,berlandieri,NULL,Lithobates berlandieri,NULL,Rio Grande Leopard Frog,Native,North America,775079
70,Amphibians-Frogs,Anura,Ranidae,Lithobates,blairi,NULL,Lithobates blairi,NULL,Plains Leopard Frog,Native,North America,775080
71,Amphibians-Frogs,Anura,Ranidae,Lithobates,catesbeianus,NULL,Lithobates catesbeianus,NULL,American Bullfrog,Native,North America,775084
72,Amphibians-Frogs,Anura,Ranidae,Lithobates,clamitans,NULL,Lithobates clamitans,NULL,Green Frog,Native,North America,775087
73,Amphibians-Frogs,Anura,Ranidae,Pelophylax,nigromaculatus,NULL,Pelophylax nigromaculatus,NULL,Black-spotted Frog,Exotic,Asia,775191
74,Amphibians-Frogs,Anura,Ranidae,Lithobates,pipiens,NULL,Lithobates pipiens,NULL,Northern Leopard Frog,Native,North America,775108
75,Amphibians-Frogs,Anura,Ranidae,Glandirana,rugosa,,Glandirana rugosa,,Japanese Wrinkled Frog,Exotic,Asia,774987
76,Amphibians-Frogs,Anura,Ranidae,Lithobates,sphenocephalus,NULL,Lithobates sphenocephalus,NULL,Southern Leopard Frog,Native,North America,775116
978,Amphibians-Frogs,Anura,Hylidae,Scinax,rubra,NULL,Scinax rubra,NULL,Common Scinax,Exotic,North America,550291
979,Amphibians-Frogs,Anura,Ranidae,Lithobates,grylio,NULL,Lithobates grylio,NULL,Pig Frog,Native,North America,775091
2276,Amphibians-Frogs,Anura,Hylidae,Litoria,caerulea,NULL,Litoria caerulea,NULL,Australian Green Treefrog,Exotic,Australia,662872
2581,Amphibians-Frogs,Anura,Hylidae,Hyla,squirrella,NULL,Hyla squirrella,NULL,Squirrel Treefrog,Native,North America,173504
2728,Amphibians-Frogs,Anura,Pipidae,Pipa,pipa,NULL,Pipa pipa,NULL,Suriname toad,Exotic,South America,207437
